,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7193,"Grover Washington, Jr.",Anthology,Just the Two of Us (feat. Bill Withers),1ko2lVN0vKGUl9zrU0qSlT,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,audio_features,1ko2lVN0vKGUl9zrU0qSlT,spotify:track:1ko2lVN0vKGUl9zrU0qSlT,https://api.spotify.com/v1/tracks/1ko2lVN0vKGUl9zrU0qSlT,https://api.spotify.com/v1/audio-analysis/1ko2lVN0vKGUl9zrU0qSlT,438493,4
7194,Hans De Booij,Annabel En Andere Grote Hits,Annabel,41Wklq87430ovCkiHchbN2,0.805,0.52,7,-13.974,1,0.299,0.0594,3.97e-06,0.0978,0.593,173.713,audio_features,41Wklq87430ovCkiHchbN2,spotify:track:41Wklq87430ovCkiHchbN2,https://api.spotify.com/v1/tracks/41Wklq87430ovCkiHchbN2,https://api.spotify.com/v1/audio-analysis/41Wklq87430ovCkiHchbN2,212600,4
7195,Hoobastank,The Reason (15th Anniversary Deluxe),The Reason,77loZpT5Y5PRP1S451P9Yz,0.472,0.671,4,-4.649,1,0.029,0.0129,0,0.159,0.0681,82.952,audio_features,77loZpT5Y5PRP1S451P9Yz,spotify:track:77loZpT5Y5PRP1S451P9Yz,https://api.spotify.com/v1/tracks/77loZpT5Y5PRP1S451P9Yz,https://api.spotify.com/v1/audio-analysis/77loZpT5Y5PRP1S451P9Yz,232800,4
7196,Various Artists,80s 100 Hits,Satellite,0mgFy2EDy4WyGazhI7FVJM,0.518,0.737,7,-12.775,1,0.0318,0.17,0.0112,0.394,0.348,104.128,audio_features,0mgFy2EDy4WyGazhI7FVJM,spotify:track:0mgFy2EDy4WyGazhI7FVJM,https://api.spotify.com/v1/tracks/0mgFy2EDy4WyGazhI7FVJM,https://api.spotify.com/v1/audio-analysis/0mgFy2EDy4WyGazhI7FVJM,257120,4
7197,Hootie & The Blowfish,Cracked Rear View,Only Wanna Be with You,1OFKUn2VLafrHj7ybnap0Q,0.49,0.873,6,-5.861,1,0.0355,0.107,5.19e-06,0.118,0.513,103.272,audio_features,1OFKUn2VLafrHj7ybnap0Q,spotify:track:1OFKUn2VLafrHj7ybnap0Q,https://api.spotify.com/v1/tracks/1OFKUn2VLafrHj7ybnap0Q,https://api.spotify.com/v1/audio-analysis/1OFKUn2VLafrHj7ybnap0Q,229587,4
7198,Ian Dury,New Boots and Panties!!,Sex & Drugs & Rock & Roll,0DPdnWavHdhB5hJ6O0qS6d,0.833,0.716,9,-11.265,1,0.04,0.533,0,0.058,0.9,104.8,audio_features,0DPdnWavHdhB5hJ6O0qS6d,spotify:track:0DPdnWavHdhB5hJ6O0qS6d,https://api.spotify.com/v1/tracks/0DPdnWavHdhB5hJ6O0qS6d,https://api.spotify.com/v1/audio-analysis/0DPdnWavHdhB5hJ6O0qS6d,186627,4
7199,ICEHOUSE,Man Of Colours,Crazy,4tmXsNoNOk37DPBhVk5wK1,0.516,0.949,5,-3.512,1,0.125,0.0162,0.0045,0.319,0.367,115.593,audio_features,4tmXsNoNOk37DPBhVk5wK1,spotify:track:4tmXsNoNOk37DPBhVk5wK1,https://api.spotify.com/v1/tracks/4tmXsNoNOk37DPBhVk5wK1,https://api.spotify.com/v1/audio-analysis/4tmXsNoNOk37DPBhVk5wK1,203920,4
7200,ICEHOUSE,Primitive Man (Bonus Track Edition),"Hey, Little Girl",5VYB1J9aXyYxjE5Z8kXRgK,0.736,0.891,9,-5.828,0,0.0328,0.151,0.516,0.0871,0.868,135.532,audio_features,5VYB1J9aXyYxjE5Z8kXRgK,spotify:track:5VYB1J9aXyYxjE5Z8kXRgK,https://api.spotify.com/v1/tracks/5VYB1J9aXyYxjE5Z8kXRgK,https://api.spotify.com/v1/audio-analysis/5VYB1J9aXyYxjE5Z8kXRgK,264667,4
7201,Ilse DeLange,Incredible,Miracle,7FUGNIP1vHuS9gtDAGf7kH,0.546,0.48,11,-7.953,1,0.0325,0.482,5.26e-06,0.0954,0.181,130.198,audio_features,7FUGNIP1vHuS9gtDAGf7kH,spotify:track:7FUGNIP1vHuS9gtDAGf7kH,https://api.spotify.com/v1/tracks/7FUGNIP1vHuS9gtDAGf7kH,https://api.spotify.com/v1/audio-analysis/7FUGNIP1vHuS9gtDAGf7kH,270333,4
7202,Ilse DeLange,Next To Me (Standard version),Next To Me,4vrcVOWlA2B1pMAMmohaeL,0.633,0.867,4,-4.465,1,0.0278,0.113,2.62e-06,0.0997,0.512,122.996,audio_features,4vrcVOWlA2B1pMAMmohaeL,spotify:track:4vrcVOWlA2B1pMAMmohaeL,https://api.spotify.com/v1/tracks/4vrcVOWlA2B1pMAMmohaeL,https://api.spotify.com/v1/audio-analysis/4vrcVOWlA2B1pMAMmohaeL,234987,4
